time_s,pendulum_angle_unwrapped,pendulum_vel_rad_s
0.00019,-1.616816,0.153398
0.01019,-1.617966,-0.115049
0.02035,-1.617583,0.03835
0.03022,-1.617199,0.03835
0.04008,-1.617583,-0.03835
0.05008,-1.617966,-0.03835
0.06018,-1.61835,-0.03835
0.07008,-1.616432,0.191748
0.08046,-1.614515,0.191748
0.09016,-1.611447,0.306796
0.10031,-1.606461,0.498544
0.11047,-1.599175,0.728641
0.12011,-1.591505,0.76699
0.13054,-1.575015,1.649029
0.14023,-1.547403,2.761165
0.15053,-1.505219,4.218447
0.16052,-1.44501,6.020875
0.17028,-1.381733,6.327671
0.18032,-1.286626,9.510681
0.1903,-1.191903,-618.846199
0.2003,-1.073403,11.850002
0.21052,-0.927291,14.611167
0.22063,-0.788083,13.920876
0.23018,-0.658078,13.000487
0.2405,-0.475534,18.254371
0.2505,-0.309864,16.566993
0.26052,-0.143427,16.643692
0.27063,0.036049,17.947575
0.2805,0.199801,16.375245
0.29051,0.363553,16.375245
0.30052,0.531908,16.835439
0.31049,0.681471,14.956313
0.32062,0.839087,15.761653
0.33051,0.962189,12.310196
0.3405,1.088743,12.655342
0.35051,1.192287,10.35437
0.36052,1.287393,9.510681
0.37063,1.367544,8.01505
0.38052,1.427753,6.020875
0.39051,1.47799,5.023787
0.40049,1.507136,2.914563
0.41052,1.523243,1.61068
0.42063,1.522476,-0.076699
0.43051,1.508287,-1.418932
0.44047,1.479908,-2.837864
0.45052,1.435806,-4.410195
0.46056,1.369845,-6.596117
0.47028,1.301583,-6.826215
0.48051,1.199956,-10.162623
0.49049,1.092578,-10.737866
0.50051,0.973694,-11.888351
0.51051,0.841772,-13.192235
0.52062,0.701413,-14.035924
0.53051,0.547631,-15.378157
0.54049,0.390015,-15.761653
0.55051,0.225495,-16.451944
0.56052,0.055223,-17.027187
0.57062,-0.108529,-16.375245
0.5803,-0.262694,-15.416507
0.59028,-0.430282,-16.75874
0.60028,-0.559519,-12.923788
0.61066,-0.730175,-17.065536
0.62037,-0.86018,-13.000487
0.63014,-0.956054,-9.58738
0.64016,-1.066117,-11.006312
0.65022,-1.165442,-9.932526
0.66022,-1.249811,619.881636
0.67066,-1.321524,-7.17136
0.68028,-1.372913,-5.138836
0.69024,-1.412413,-3.950001
0.70029,-1.434656,-2.224272
0.71022,-1.440024,-0.536893
0.72035,-1.432355,0.76699
0.73029,-1.408578,2.37767
0.74028,-1.369845,3.873301
0.75031,-1.310403,5.944176
0.7605,-1.232937,7.746603
0.77074,-1.1455,-619.57484
0.78049,-1.050777,9.472331
0.79063,-0.930743,12.0034
0.80031,-0.818379,11.236409
0.81051,-0.682621,13.57573
0.82066,-0.532291,15.033012
0.83023,-0.408039,12.425244
0.84048,-0.230481,17.755828
0.8505,-0.075549,15.493206
0.86046,0.096641,17.218934
0.87066,0.262694,16.605342
0.88051,0.411107,14.841264
0.89063,0.567189,15.608255
0.9005,0.707165,13.997575
0.91024,0.830267,12.310196
0.92061,0.960655,13.038837
0.93051,1.065733,10.507768
0.94046,1.148952,8.321846
0.95047,1.226418,7.746603
0.96049,1.298515,7.20971
0.97068,1.351437,5.292234
0.98051,1.383651,3.22136
0.99026,1.403976,2.032525
1.00049,1.407811,0.383495
1.01052,1.395539,-1.227185
1.02065,1.368311,-2.722816
1.03051,1.32766,-4.065049
1.04049,1.272054,-5.56068
1.05052,1.206092,-6.596117
1.06052,1.117505,-8.858739
1.07064,1.011277,-10.622817
1.08049,0.905432,-10.584467
1.09051,0.775427,-13.000487
1.10031,0.654626,-12.080099
1.1105,0.497393,-15.723303
1.12067,0.341694,-15.569905
1.13051,0.191364,-15.033012
1.14049,0.034515,-15.684954
1.15031,-0.106995,-14.150973
1.16063,-0.274966,-16.79709
1.17027,-0.413408,-13.844177
1.18053,-0.564888,-15.14806
1.19052,-0.702947,-13.805827
1.20066,-0.835636,-13.268934
1.21018,-0.925757,-9.012137
1.22014,-1.024699,-9.894176
1.23019,-1.11367,-8.897089
1.24008,-1.188068,-7.439807
1.25018,-1.252879,621.837462
1.26018,-1.298898,-4.601942
1.27057,-1.331879,-3.298059
1.28029,-1.346452,-1.457282
1.29029,-1.347219,-0.076699
1.30028,-1.332262,1.495631
1.3103,-1.304267,2.799515
1.32065,-1.250578,5.368933
1.33052,-1.195738,-622.834549
1.34049,-1.119422,7.631554
1.35022,-1.036204,8.321846
1.3605,-0.924607,11.15971
1.37067,-0.80649,11.811652
1.38051,-0.685306,12.118448
1.39048,-0.561053,12.425244
1.40049,-0.425296,13.57573
1.41049,-0.281102,14.419419
1.42044,-0.115816,16.528643
1.43051,0.03835,15.416507
1.44049,0.18983,15.14806
1.45051,0.329422,13.959225
1.46052,0.487422,15.800002
1.47072,0.626631,13.920876
1.48031,0.742063,11.543205
1.49051,0.857495,11.543205
1.50052,0.974845,11.734953
1.51101,1.065733,9.088836
