timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd
1e-05,0.0,0.0,0.6104,0.0,0.5585
0.02508,0.0,0.0,0.6104,0.0,0.5455
0.0501,0.0164,2.0595,0.6104,0.0,0.6383
0.07508,0.0519,4.4616,0.6104,0.0,0.7047
0.10014,0.0916,4.9739,0.6104,0.0,0.7261
0.12509,0.1314,5.0173,0.6104,0.0,0.7133
0.15018,0.1711,4.9694,0.6104,0.0,0.6955
0.1752,0.2111,5.022,0.6104,0.0,0.6799
0.20022,0.2509,5.003,0.6104,0.0,0.664
0.22511,0.2908,5.0292,0.6104,0.0,0.6523
0.25011,0.3303,4.9685,0.6104,0.0,0.6396
0.27519,0.3702,4.9906,0.6104,0.0,0.6348
0.30022,0.41,5.0002,0.6104,0.0,0.6292
0.32513,0.4498,5.0254,0.6104,0.0,0.624
0.35013,0.4895,4.9886,0.6104,0.0,0.6172
0.3752,0.5294,4.9927,0.6104,0.0,0.6109
0.40021,0.5692,5.0037,0.6104,0.0,0.6031
0.42513,0.6091,5.0232,0.6104,0.0,0.5965
0.45012,0.6488,4.9889,0.6104,0.0,0.5904
0.47527,0.6884,4.9576,0.6104,0.0,0.5845
0.50022,0.6944,0.7476,0.6104,0.0,0.2372
0.52514,0.6944,0.0,0.6104,0.0,0.1806
0.55016,0.6944,0.0,0.6104,0.0,0.1638
0.57522,0.6944,0.0,0.6104,0.0,0.1588
0.60029,0.6944,0.0,0.6104,0.0,0.1574
0.62511,0.6944,0.0,0.6104,0.0,0.157
0.65012,0.6944,0.0,0.6104,0.0,0.1569
0.67522,0.6944,0.0,0.6104,0.0,0.1569
0.70016,0.6944,0.0,0.6104,0.0,0.1569
0.72512,0.6944,0.0,0.6104,0.0,0.1569
0.75025,0.6944,0.0,0.6104,0.0,0.1569
0.77529,0.6944,0.0,0.6104,0.0,0.1569
0.80017,0.6944,0.0,0.6104,0.0,0.1569
0.82509,0.6944,0.0,0.6104,0.0,0.1569
0.85009,0.6944,0.0,0.6104,0.0,0.1569
0.87517,0.6944,0.0,0.6104,0.0,0.1569
0.90019,0.6944,0.0,0.6104,0.0,0.1569
0.92522,0.6944,0.0,0.6104,0.0,0.1569
0.95013,0.6944,0.0,0.6104,0.0,0.1569
0.97528,0.6944,0.0,0.6104,0.0,0.1569
1.00022,0.6944,0.0,0.6104,0.0,0.1569
1.02516,0.6944,0.0,0.6104,0.0,0.1569
1.05015,0.6944,0.0,0.6104,0.0,0.1569
1.07514,0.6944,0.0,0.6104,0.0,0.1569
1.10022,0.6944,0.0,0.6104,0.0,0.1569
1.12513,0.6944,0.0,0.6104,0.0,0.1569
1.15013,0.6944,0.0,0.6104,0.0,0.1569
1.17518,0.6944,0.0,0.6104,0.0,0.1569
1.20022,0.6944,0.0,0.6104,0.0,0.1569
1.22512,0.6944,0.0,0.6104,0.0,0.1569
1.25014,0.6944,0.0,0.6104,0.0,0.1569
1.27516,0.6944,0.0,0.6104,0.0,0.1569
1.30028,0.6944,0.0,0.6104,0.0,0.1569
1.32515,0.6944,0.0,0.6104,0.0,0.1569
1.35011,0.6944,0.0,0.6104,0.0,0.1569
1.37512,0.6944,0.0,0.6104,0.0,0.1569
1.40016,0.6944,0.0,0.6104,0.0,0.1569
1.42513,0.6944,0.0,0.6104,0.0,0.1569
1.45024,0.6944,0.0,0.6104,0.0,0.1569
1.47519,0.6944,0.0,0.6104,0.0,0.1569
1.5003,0.6944,0.0,0.6104,0.0,0.1569
1.52523,0.6944,0.0,0.6104,0.0,0.1569
1.55013,0.6944,0.0,0.6104,0.0,0.1569
1.57523,0.6944,0.0,0.6104,0.0,0.1569
1.60029,0.6944,0.0,0.6104,0.0,0.1569
1.62514,0.6944,0.0,0.6104,0.0,0.1569
1.65022,0.6944,0.0,0.6104,0.0,0.1569
1.67523,0.6944,0.0,0.6104,0.0,0.1569
1.70024,0.6944,0.0,0.6104,0.0,0.1569
1.72515,0.6944,0.0,0.6104,0.0,0.1569
1.75013,0.6944,0.0,0.6104,0.0,0.1569
1.77529,0.6944,0.0,0.6104,0.0,0.1569
1.80029,0.6944,0.0,0.6104,0.0,0.1569
1.8251,0.6944,0.0,0.6104,0.0,0.1569
1.8501,0.6944,0.0,0.6104,0.0,0.1569
1.87515,0.6944,0.0,0.6104,0.0,0.1569
1.90022,0.6944,0.0,0.6104,0.0,0.1569
1.92514,0.6944,0.0,0.6104,0.0,0.1569
1.95013,0.6944,0.0,0.6104,0.0,0.1569
1.97515,0.6944,0.0,0.6104,0.0,0.1569
2.00023,0.6944,0.0,0.6104,0.0,0.1569
2.02514,0.6944,0.0,0.6104,0.0,0.1569
2.05011,0.6944,0.0,0.6104,0.0,0.1569
2.07523,0.6944,0.0,0.6104,0.0,0.1569
2.1003,0.6944,0.0,0.6104,0.0,0.1569
2.12513,0.6944,0.0,0.6104,0.0,0.1569
2.15013,0.6944,0.0,0.6104,0.0,0.1569
2.1753,0.6944,0.0,0.6104,0.0,0.1569
2.20022,0.6944,0.0,0.6104,0.0,0.1569
2.22511,0.6944,0.0,0.6104,0.0,0.1569
2.25013,0.6944,0.0,0.6104,0.0,0.1569
2.27522,0.6944,0.0,0.6104,0.0,0.1569
2.30015,0.6944,0.0,0.6104,0.0,0.1569
2.32514,0.6944,0.0,0.6104,0.0,0.1569
2.35016,0.6944,0.0,0.6104,0.0,0.1569
2.37528,0.6944,0.0,0.6104,0.0,0.1569
2.40022,0.6944,0.0,0.6104,0.0,0.1569
2.42514,0.6944,0.0,0.6104,0.0,0.1569
2.45015,0.6944,0.0,0.6104,0.0,0.1569
2.47518,0.6944,0.0,0.6104,0.0,0.1569
2.50029,0.6944,0.0,0.6104,0.0,0.1569
2.52514,0.6944,0.0,0.6104,0.0,0.1569
2.55015,0.6944,0.0,0.6104,0.0,0.1569
2.57518,0.6944,0.0,0.6104,0.0,0.1569
2.6003,0.6944,0.0,0.6104,0.0,0.1569
2.62511,0.6944,0.0,0.6104,0.0,0.1569
2.65012,0.6944,0.0,0.6104,0.0,0.1569
2.67524,0.6944,0.0,0.6104,0.0,0.1569
2.70022,0.6944,0.0,0.6104,0.0,0.1569
2.72511,0.6944,0.0,0.6104,0.0,0.1569
2.75013,0.6944,0.0,0.6104,0.0,0.1569
2.77528,0.6944,0.0,0.6104,0.0,0.1569
2.80016,0.6944,0.0,0.6104,0.0,0.1569
2.82515,0.6944,0.0,0.6104,0.0,0.1569
2.85013,0.6944,0.0,0.6104,0.0,0.1569
2.87523,0.6944,0.0,0.6104,0.0,0.1569
2.90022,0.6944,0.0,0.6104,0.0,0.1569
2.92512,0.6944,0.0,0.6104,0.0,0.1569
2.95014,0.6944,0.0,0.6104,0.0,0.1569
2.97513,0.6944,0.0,0.6104,0.0,0.1569
3.00028,0.6944,0.0,0.6104,0.0,0.1569
3.02515,0.6944,0.0,0.6104,0.0,0.1569
3.05013,0.6944,0.0,0.6104,0.0,0.1569
3.07516,0.6944,0.0,0.6104,0.0,0.1569
3.10012,0.6944,0.0,0.6104,0.0,0.1569
3.12515,0.6944,0.0,0.6104,0.0,0.1569
3.15013,0.6944,0.0,0.6104,0.0,0.1569
3.17522,0.6944,0.0,0.6104,0.0,0.1569
3.20028,0.6944,0.0,0.6104,0.0,0.1569
3.22544,0.6944,0.0,0.6104,0.0,0.1569
3.25016,0.6944,0.0,0.6104,0.0,0.1569
3.27553,0.6944,0.0,0.6104,0.0,0.1569
3.30016,0.6944,0.0,0.6104,0.0,0.1569
3.32514,0.6944,0.0,0.6104,0.0,0.1569
3.35013,0.6944,0.0,0.6104,0.0,0.1569
3.37531,0.6944,0.0,0.6104,0.0,0.1569
3.40024,0.6944,0.0,0.6104,0.0,0.1569
3.42511,0.6944,0.0,0.6104,0.0,0.1569
3.45013,0.6944,0.0,0.6104,0.0,0.1569
3.47523,0.6944,0.0,0.6104,0.0,0.1569
3.5003,0.6944,0.0,0.6104,0.0,0.1569
3.52514,0.6944,0.0,0.6104,0.0,0.1569
3.55019,0.6944,0.0,0.6104,0.0,0.1569
3.57527,0.6944,0.0,0.6104,0.0,0.1569
3.60015,0.6944,0.0,0.6104,0.0,0.1569
3.62544,0.6944,0.0,0.6104,0.0,0.1569
3.65014,0.6944,0.0,0.6104,0.0,0.1569
3.67538,0.6944,0.0,0.6104,0.0,0.1569
3.70008,0.6944,0.0,0.6104,0.0,0.1569
3.72511,0.6944,0.0,0.6104,0.0,0.1569
3.75012,0.6944,0.0,0.6104,0.0,0.1569
3.77523,0.6944,0.0,0.6104,0.0,0.1569
3.80022,0.6944,0.0,0.6104,0.0,0.1569
3.82512,0.6944,0.0,0.6104,0.0,0.1569
3.85023,0.6944,0.0,0.6104,0.0,0.1569
3.87524,0.6944,0.0,0.6104,0.0,0.1569
3.90023,0.6944,0.0,0.6104,0.0,0.1569
3.92513,0.6944,0.0,0.6104,0.0,0.1569
3.95013,0.6944,0.0,0.6104,0.0,0.1569
3.97515,0.6944,0.0,0.6104,0.0,0.1569
4.00014,0.6944,0.0,0.6104,0.0,0.1569
4.02512,0.6944,0.0,0.6104,0.0,0.1569
4.05013,0.6944,0.0,0.6104,0.0,0.1569
4.07522,0.6944,0.0,0.6104,0.0,0.1569
4.10029,0.6944,0.0,0.6104,0.0,0.1569
4.12515,0.6944,0.0,0.6104,0.0,0.1569
4.15015,0.6944,0.0,0.6104,0.0,0.1569
4.17517,0.6944,0.0,0.6104,0.0,0.1569
4.20028,0.6944,0.0,0.6104,0.0,0.1569
4.22512,0.6944,0.0,0.6104,0.0,0.1569
4.25013,0.6944,0.0,0.6104,0.0,0.1569
4.27524,0.6944,0.0,0.6104,0.0,0.1569
4.30009,0.6944,0.0,0.6104,0.0,0.1569
4.3251,0.6944,0.0,0.6104,0.0,0.1569
4.35012,0.6944,0.0,0.6104,0.0,0.1569
4.37518,0.6944,0.0,0.6104,0.0,0.1569
4.40022,0.6944,0.0,0.6104,0.0,0.1569
4.42515,0.6944,0.0,0.6104,0.0,0.1569
4.45013,0.6944,0.0,0.6104,0.0,0.1569
4.47523,0.6944,0.0,0.6104,0.0,0.1569
4.50016,0.6944,0.0,0.6104,0.0,0.1569
4.52513,0.6944,0.0,0.6104,0.0,0.1569
4.55015,0.6944,0.0,0.6104,0.0,0.1569
4.57522,0.6944,0.0,0.6104,0.0,0.1569
4.60031,0.6944,0.0,0.6104,0.0,0.1569
4.62514,0.6944,0.0,0.6104,0.0,0.1569
4.65014,0.6944,0.0,0.6104,0.0,0.1569
4.67518,0.6944,0.0,0.6104,0.0,0.1569
4.70029,0.6944,0.0,0.6104,0.0,0.1569
4.72514,0.6944,0.0,0.6104,0.0,0.1569
4.75013,0.6944,0.0,0.6104,0.0,0.1569
4.7753,0.6944,0.0,0.6104,0.0,0.1569
4.80022,0.6944,0.0,0.6104,0.0,0.1569
4.82515,0.6944,0.0,0.6104,0.0,0.1569
4.85011,0.6944,0.0,0.6104,0.0,0.1569
4.8752,0.6944,0.0,0.6104,0.0,0.1569
4.90008,0.6944,0.0,0.6104,0.0,0.1569
4.92512,0.6944,0.0,0.6104,0.0,0.1569
4.95012,0.6944,0.0,0.6104,0.0,0.1569
4.97522,0.6944,0.0,0.6104,0.0,0.1569
5.00021,0.6944,0.0,0.6104,0.0,0.1569
5.02523,0.6944,0.0,0.6104,0.0,0.1569
5.05013,0.6944,0.0,0.6104,0.0,0.1569
5.07523,0.6944,0.0,0.6104,0.0,0.1569
5.10021,0.6944,0.0,0.6104,0.0,0.1569
5.12512,0.6944,0.0,0.6104,0.0,0.1569
5.15013,0.6944,0.0,0.6104,0.0,0.1569
5.17514,0.6944,0.0,0.6104,0.0,0.1569
5.20022,0.6944,0.0,0.6104,0.0,0.1569
5.22512,0.6944,0.0,0.6104,0.0,0.1569
5.25013,0.6944,0.0,0.6104,0.0,0.1569
5.27522,0.6944,0.0,0.6104,0.0,0.1569
5.30029,0.6944,0.0,0.6104,0.0,0.1569
5.32508,0.6944,0.0,0.6104,0.0,0.1569
5.35013,0.6944,0.0,0.6104,0.0,0.1569
5.37522,0.6944,0.0,0.6104,0.0,0.1569
5.40022,0.6944,0.0,0.6104,0.0,0.1569
5.42513,0.6944,0.0,0.6104,0.0,0.1569
5.45013,0.6944,0.0,0.6104,0.0,0.1569
5.47522,0.6944,0.0,0.6104,0.0,0.1569
5.50014,0.6944,0.0,0.6104,0.0,0.1569
5.52509,0.6944,0.0,0.6104,0.0,0.1569
5.55012,0.6944,0.0,0.6104,0.0,0.1569
5.57522,0.6944,0.0,0.6104,0.0,0.1569
5.60021,0.6944,0.0,0.6104,0.0,0.1569
5.62512,0.6944,0.0,0.6104,0.0,0.1569
5.65012,0.6944,0.0,0.6104,0.0,0.1569
5.67512,0.6944,0.0,0.6104,0.0,0.1569
5.70021,0.6944,0.0,0.6104,0.0,0.1569
5.72513,0.6944,0.0,0.6104,0.0,0.1569
5.75012,0.6944,0.0,0.6104,0.0,0.1569
5.77518,0.6944,0.0,0.6104,0.0,0.1569
5.80029,0.6944,0.0,0.6104,0.0,0.1569
5.82513,0.6944,0.0,0.6104,0.0,0.1569
5.85015,0.6944,0.0,0.6104,0.0,0.1569
5.87527,0.6944,0.0,0.6104,0.0,0.1569
5.90029,0.6944,0.0,0.6104,0.0,0.1569
5.92514,0.6944,0.0,0.6104,0.0,0.1569
5.95015,0.6944,0.0,0.6104,0.0,0.1569
5.97522,0.6944,0.0,0.6104,0.0,0.1569
6.00028,0.6944,0.0,0.6104,0.0,0.1569
6.02513,0.6944,0.0,0.6104,0.0,0.1569
6.05015,0.6944,0.0,0.6104,0.0,0.1569
6.07517,0.6944,0.0,0.6104,0.0,0.1569
6.10008,0.6944,0.0,0.6104,0.0,0.1569
6.12511,0.6944,0.0,0.6104,0.0,0.1569
6.15012,0.6944,0.0,0.6104,0.0,0.1569
6.17522,0.6944,0.0,0.6104,0.0,0.1569
6.20021,0.6944,0.0,0.6104,0.0,0.1569
6.22511,0.6944,0.0,0.6104,0.0,0.1569
6.25015,0.6944,0.0,0.6104,0.0,0.1569
6.27523,0.6944,0.0,0.6104,0.0,0.1569
6.30027,0.6944,0.0,0.6104,0.0,0.1569
6.32521,0.6944,0.0,0.6104,0.0,0.1569
6.35015,0.6944,0.0,0.6104,0.0,0.1569
6.37523,0.6944,0.0,0.6104,0.0,0.1569
6.40027,0.6944,0.0,0.6104,0.0,0.1569
6.4251,0.6944,0.0,0.6104,0.0,0.1569
6.45061,0.6944,0.0,0.6104,0.0,0.1569
6.47508,0.6944,0.0,0.6104,0.0,0.1569
6.50022,0.6944,0.0,0.6104,0.0,0.1569
6.52511,0.6944,0.0,0.6104,0.0,0.1569
6.55013,0.6944,0.0,0.6104,0.0,0.1569
6.57523,0.6944,0.0,0.6104,0.0,0.1569
6.60028,0.6944,0.0,0.6104,0.0,0.1569
6.62528,0.6944,0.0,0.6104,0.0,0.1569
6.65015,0.6944,0.0,0.6104,0.0,0.1569
6.67522,0.6944,0.0,0.6104,0.0,0.1569
6.70027,0.6944,0.0,0.6104,0.0,0.1569
6.72511,0.6944,0.0,0.6104,0.0,0.1569
6.75016,0.6944,0.0,0.6104,0.0,0.1569
6.77515,0.6944,0.0,0.6104,0.0,0.1569
6.80023,0.6944,0.0,0.6104,0.0,0.1569
6.82512,0.6944,0.0,0.6104,0.0,0.1569
6.85013,0.6944,0.0,0.6104,0.0,0.1569
6.87522,0.6944,0.0,0.6104,0.0,0.1569
6.90021,0.6944,0.0,0.6104,0.0,0.1569
6.92513,0.6944,0.0,0.6104,0.0,0.1569
6.95016,0.6944,0.0,0.6104,0.0,0.1569
6.97522,0.6944,0.0,0.6104,0.0,0.1569
7.00022,0.6944,0.0,0.6104,0.0,0.1569
7.02515,0.6944,0.0,0.6104,0.0,0.1569
7.05017,0.6944,0.0,0.6104,0.0,0.1569
7.07522,0.6944,0.0,0.6104,0.0,0.1569
7.10012,0.6944,0.0,0.6104,0.0,0.1569
7.12512,0.6944,0.0,0.6104,0.0,0.1569
7.15013,0.6944,0.0,0.6104,0.0,0.1569
7.17524,0.6944,0.0,0.6104,0.0,0.1569
7.20029,0.6944,0.0,0.6104,0.0,0.1569
7.22521,0.6944,0.0,0.6104,0.0,0.1569
7.25012,0.6944,0.0,0.6104,0.0,0.1569
7.27521,0.6944,0.0,0.6104,0.0,0.1569
7.30022,0.6944,0.0,0.6104,0.0,0.1569
7.3252,0.6944,0.0,0.6104,0.0,0.1569
7.35013,0.6944,0.0,0.6104,0.0,0.1569
7.37517,0.6944,0.0,0.6104,0.0,0.1569
7.40023,0.6944,0.0,0.6104,0.0,0.1569
7.42512,0.6944,0.0,0.6104,0.0,0.1569
7.45015,0.6944,0.0,0.6104,0.0,0.1569
7.47527,0.6944,0.0,0.6104,0.0,0.1569
7.50027,0.6944,0.0,0.6104,0.0,0.1569
7.52511,0.6944,0.0,0.6104,0.0,0.1569
7.55014,0.6944,0.0,0.6104,0.0,0.1569
7.57522,0.6944,0.0,0.6104,0.0,0.1569
7.60027,0.6944,0.0,0.6104,0.0,0.1569
7.62523,0.6944,0.0,0.6104,0.0,0.1569
7.65012,0.6944,0.0,0.6104,0.0,0.1569
7.67508,0.6944,0.0,0.6104,0.0,0.1569
7.70024,0.6944,0.0,0.6104,0.0,0.1569
7.72511,0.6944,0.0,0.6104,0.0,0.1569
7.75012,0.6944,0.0,0.6104,0.0,0.1569
7.77529,0.6944,0.0,0.6104,0.0,0.1569
7.80022,0.6944,0.0,0.6104,0.0,0.1569
7.82556,0.6944,0.0,0.6104,0.0,0.1569
7.85017,0.6944,0.0,0.6104,0.0,0.1569
7.87523,0.6944,0.0,0.6104,0.0,0.1569
7.90027,0.6944,0.0,0.6104,0.0,0.1569
7.92513,0.6944,0.0,0.6104,0.0,0.1569
7.95015,0.6944,0.0,0.6104,0.0,0.1569
7.97516,0.6944,0.0,0.6104,0.0,0.1569
8.00023,0.6944,0.0,0.6104,0.0,0.1569
8.02513,0.6944,0.0,0.6104,0.0,0.1569
8.05016,0.6944,0.0,0.6104,0.0,0.1569
8.07522,0.6944,0.0,0.6104,0.0,0.1569
8.10021,0.6944,0.0,0.6104,0.0,0.1569
8.12514,0.6944,0.0,0.6104,0.0,0.1569
8.15014,0.6944,0.0,0.6104,0.0,0.1569
8.17523,0.6944,0.0,0.6104,0.0,0.1569
8.20022,0.6944,0.0,0.6104,0.0,0.1569
8.22515,0.6944,0.0,0.6104,0.0,0.1569
8.25015,0.6944,0.0,0.6104,0.0,0.1569
8.27514,0.6944,0.0,0.6104,0.0,0.1569
8.30019,0.6944,0.0,0.6104,0.0,0.1569
8.32511,0.6944,0.0,0.6104,0.0,0.1569
8.35013,0.6944,0.0,0.6104,0.0,0.1569
8.37522,0.6944,0.0,0.6104,0.0,0.1569
8.40022,0.6944,0.0,0.6104,0.0,0.1569
8.42512,0.6944,0.0,0.6104,0.0,0.1569
8.45013,0.6944,0.0,0.6104,0.0,0.1569
8.47523,0.6944,0.0,0.6104,0.0,0.1569
8.50023,0.6944,0.0,0.6104,0.0,0.1569
8.52512,0.6944,0.0,0.6104,0.0,0.1569
8.55014,0.6944,0.0,0.6104,0.0,0.1569
8.57515,0.6944,0.0,0.6104,0.0,0.1569
8.60027,0.6944,0.0,0.6104,0.0,0.1569
8.62512,0.6944,0.0,0.6104,0.0,0.1569
8.65015,0.6944,0.0,0.6104,0.0,0.1569
8.67527,0.6944,0.0,0.6104,0.0,0.1569
8.70022,0.6944,0.0,0.6104,0.0,0.1569
8.72514,0.6944,0.0,0.6104,0.0,0.1569
8.75012,0.6944,0.0,0.6104,0.0,0.1569
8.77522,0.6944,0.0,0.6104,0.0,0.1569
8.80029,0.6944,0.0,0.6104,0.0,0.1569
8.82514,0.6944,0.0,0.6104,0.0,0.1569
8.85013,0.6944,0.0,0.6104,0.0,0.1569
8.87509,0.6944,0.0,0.6104,0.0,0.1569
8.90018,0.6944,0.0,0.6104,0.0,0.1569
8.9251,0.6944,0.0,0.6104,0.0,0.1569
