timestamp_s,arm_pos_rad,arm_actual_vel_rad_s,pendulum_pos_rad,pendulum_vel_rad_s,action_cmd,acceleration_cmd_rad_s2
0.0,0.0,0.0,0.9974,0.001,-0.2345,-11.7266
0.02508,0.0,0.0,0.9974,0.0,-0.2329,-11.6453
0.05009,0.0,0.0,0.9976,0.0005,-0.2335,-11.6725
0.07509,0.0,0.0,0.9971,-0.002,-0.2309,-11.5466
0.10009,-0.001,-0.0393,0.9971,0.0,-0.2274,-11.3719
0.12507,-0.0069,-0.2358,0.999,0.0082,-0.2097,-10.4827
0.15007,-0.0236,-0.6676,-0.9977,0.0138,-0.1657,-8.284
0.1751,-0.0398,-0.6473,-0.9933,0.0184,-0.1714,-8.5697
0.20008,-0.0697,-1.1987,-0.9877,0.0235,-0.1347,-6.7373
0.22509,-0.0938,-0.9619,-0.9817,0.0251,-0.1513,-7.5673
0.25008,-0.1355,-1.6694,-0.9767,0.021,-0.0869,-4.3465
0.27509,-0.1659,-1.217,-0.9727,0.0169,-0.1153,-5.7647
0.30008,-0.2155,-1.9838,-0.9712,0.0061,-0.0289,-1.4441
0.32509,-0.2499,-1.3738,-0.972,-0.0036,-0.054,-2.699
0.35007,-0.3039,-2.1615,-0.9742,-0.0092,0.0363,1.8154
0.37508,-0.3397,-1.4331,-0.979,-0.0199,0.0098,0.4918
0.40009,-0.3922,-2.1003,-0.9866,-0.0317,0.1126,5.6312
0.42516,-0.4256,-1.3311,-0.995,-0.0353,0.0789,3.9442
0.45008,-0.4717,-1.8517,0.9948,-0.043,0.1798,8.9897
0.47508,-0.4992,-1.0993,0.9838,-0.046,0.1428,7.1389
0.50008,-0.5341,-1.3946,0.9735,-0.043,0.2019,10.0952
0.52515,-0.5537,-0.7831,0.9635,-0.0419,0.1549,7.745
0.55008,-0.5758,-0.8861,0.9554,-0.0337,0.1641,8.2066
0.57508,-0.5866,-0.432,0.9504,-0.021,0.1071,5.3538
0.60008,-0.5974,-0.432,0.9484,-0.0087,0.0913,4.5633
