time_s,arm_pos_rad,arm_vel_rad_s,pendulum_angle_rad,pendulum_vel_rad_s,control_action,acceleration_cmd_rad_s2,pendulum_angle_unwrapped,sim_cart_pos,sim_pole_angle,env_cart_pos,env_pole_angle,dyn_ghost_sim_pole_angle,env_action
0.0,0.0,0.0,0.9974,0.001,-0.2345,-11.7266,6.275017166280253,-0.007312955698255301,6.281936590162281,-0.007299895317357912,6.282100978518552,6.275420244181991,-0.23359523713588715
0.02508,0.0,0.0,0.9974,0.0,-0.2329,-11.6453,6.275017166280253,-0.021972915131616907,6.2952789247183265,-0.021657789930880016,6.295431613662731,6.276570554949535,-0.22587473690509796
0.05009,0.0,0.0,0.9976,0.0005,-0.2335,-11.6725,6.275645484810971,-0.04389433484782131,6.31346296832735,-0.042372216436243,6.312846602658498,6.278352283823369,-0.21049821376800537
0.07509,0.0,0.0,0.9971,-0.002,-0.2309,-11.5466,6.274074688484175,-0.07242913871456035,6.334388776040839,-0.06907926041995349,6.332534235737712,6.280588893725169,-0.18678417801856995
0.10009,-0.001,-0.0393,0.9971,0.0,-0.2274,-11.3719,6.274074688484175,-0.10830693705320366,6.356863827593966,-0.10079585006996104,6.351755599157805,6.28390678380004,-0.16573257744312286
0.12507,-0.0069,-0.2358,0.999,0.0082,-0.2097,-10.4827,6.280043714525997,-0.15023513661898427,6.377606934715626,-0.13684864946101297,6.368070555347957,6.291344685199421,-0.13821955025196075
0.15007,-0.0236,-0.6676,-0.9977,0.0138,-0.1657,-8.284,6.290410970282842,-0.19526366684872742,6.3920191974057134,-0.17621688284063564,6.379032357872916,6.307414602072584,-0.10499534755945206
0.1751,-0.0398,-0.6473,-0.9933,0.0184,-0.1714,-8.5697,6.3042339779586385,-0.24530408616335223,6.400543058336529,-0.21785032625389594,6.382703689194354,6.321360733427863,-0.06671591103076935
0.20008,-0.0697,-1.1987,-0.9877,0.0235,-0.1347,-6.7373,6.321826896818741,-0.29898645724479034,6.401232398917404,-0.26013593641696664,6.377314134216811,6.340014089808238,-0.018210409209132195
0.22509,-0.0938,-0.9619,-0.9817,0.0251,-0.1513,-7.5673,6.340676452740279,-0.3571949553761947,6.394932159751867,-0.30149468851025785,6.361981361544193,6.352173903632349,0.03941407427191734
0.25008,-0.1355,-1.6694,-0.9767,0.021,-0.0869,-4.3465,6.356384416008229,-0.41751512299014,6.3801350815391515,-0.3387765339196133,6.335280981203507,6.370097305240951,0.11205708980560303
0.27509,-0.1659,-1.217,-0.9727,0.0169,-0.1153,-5.7647,6.368950786622587,-0.4813936919630116,6.359615328193018,-0.36346976969538447,6.2917444816444705,6.372230809399953,0.24672828614711761
